iter	Logloss
0	0.6763080523
1	0.6608356517
2	0.6487729514
3	0.6328183067
4	0.6174283475
5	0.6049300306
6	0.5927176538
7	0.5804240885
8	0.5691304253
9	0.5557553514
10	0.5455523797
11	0.536350276
12	0.5291699297
13	0.5211456245
14	0.5128640356
15	0.5056654219
16	0.4977395418
17	0.4914431144
18	0.4847461591
19	0.4778713919
20	0.4723419363
21	0.4653097988
22	0.4607261423
23	0.4579176664
24	0.453831477
25	0.4466508404
26	0.4418035716
27	0.438386337
28	0.4357770148
29	0.4334311547
30	0.4278033184
31	0.4246029868
32	0.4229878423
33	0.4186545317
34	0.4148220051
35	0.4119158984
36	0.4080703711
37	0.4057549868
38	0.4017955429
39	0.3992316649
40	0.3961609829
41	0.3929456095
42	0.3907842656
43	0.3883805419
44	0.3854605358
45	0.3815278326
46	0.3794017231
47	0.3768806826
48	0.3747845578
49	0.3718264419
50	0.3694268166
51	0.3669273565
52	0.3644151476
53	0.3627689775
54	0.3606918092
55	0.3584791198
56	0.3560232064
57	0.3547559209
58	0.3522025875
59	0.3501163847
60	0.3480778262
61	0.3452657245
62	0.3430455858
63	0.3418298683
64	0.3384864141
65	0.3371356684
66	0.3354747676
67	0.3334604515
68	0.3323216416
69	0.3296653186
70	0.3274579241
71	0.3260375961
72	0.3240983545
73	0.322758296
74	0.3212332984
75	0.3203500804
76	0.3191481738
77	0.3174831099
78	0.3161055298
79	0.3147625518
80	0.3130006566
81	0.3117779161
82	0.3107969981
83	0.3094440953
84	0.3078691483
85	0.3070871504
86	0.3059772531
87	0.3042487241
88	0.3035307617
89	0.3019539314
90	0.3001971138
91	0.2991163644
92	0.2980622559
93	0.2968749968
94	0.2959650101
95	0.2949631078
96	0.2935503863
97	0.2919123463
98	0.2909552334
99	0.2894407728
100	0.2886815178
101	0.287701818
102	0.2864948215
103	0.285668862
104	0.2841722111
105	0.2829857292
106	0.2814791025
107	0.280574887
108	0.2795781324
109	0.2780919991
110	0.2776007614
111	0.2762798545
112	0.275147371
113	0.2747166835
114	0.2736912741
115	0.2722495093
116	0.2713387612
117	0.2707382567
118	0.2692243155
119	0.2686152484
120	0.267464504
121	0.2668649773
122	0.2661813311
123	0.2650388937
124	0.2642991176
125	0.2634428154
126	0.2629872295
127	0.2618266123
128	0.2609016712
129	0.2597269124
130	0.258831611
131	0.2580439638
132	0.2566423686
133	0.2562531686
134	0.2551882612
135	0.2539345712
136	0.253137339
137	0.252556319
138	0.2516834948
139	0.2506296863
140	0.2495971066
141	0.2490003364
142	0.2476405658
143	0.2470642487
144	0.2462900368
145	0.2449908345
146	0.2442313217
147	0.2432364492
148	0.2426413183
149	0.2417903264
150	0.2409966822
151	0.2404561897
152	0.2396973874
153	0.2385754833
154	0.2376764258
155	0.2365391226
156	0.2360675919
157	0.2353411598
158	0.2345364113
159	0.2334280828
160	0.2326130778
161	0.2316034713
162	0.2310021756
163	0.2302689249
164	0.2288703536
165	0.2269861839
166	0.2258196383
167	0.2244925931
168	0.2240689405
169	0.223589963
170	0.2231670291
171	0.221607917
172	0.2209053777
173	0.2202613882
174	0.2191521097
175	0.218416967
176	0.2175262171
177	0.2164196009
178	0.2153870252
179	0.2148117638
180	0.2142205431
181	0.2130747314
182	0.2124210863
183	0.2121606786
184	0.2115211187
185	0.2111683855
186	0.2103476875
187	0.2093207013
188	0.2089662355
189	0.2080592476
190	0.2075370654
191	0.207101219
192	0.2063021625
193	0.2051654046
194	0.2041438722
195	0.2038319978
196	0.2033621303
197	0.2026559272
198	0.2012297126
199	0.2008264972
